label,text,split
1,"the story loses its bite in a last minute happy ending that 's even less plausible than the rest of the picture much of the way , though , this is a refreshingly novel ride",1
1,"'compleja e intelectualmente retadora , el ladrn de orqudeas es uno de esos filmes que vale la pena ver precisamente por su originalidad '",7
1,the film makes a strong case for the importance of the musicians in creating the motown sound,9
1,"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat",1
1,gosling provides an amazing performance that dwarfs everything else in the film,0
1,"a real movie , about real people , that gives us a rare glimpse into a culture most of us do n't know",0
1,tender yet lacerating and darkly funny fable,5
1,may be spoofing an easy target those old '50 's giant creature features but it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today,1
1,an engaging overview of johnson 's eccentric career,1
1,"in its ragged , cheap and unassuming way , the movie works",7
1,some actors have so much charisma that you 'd be happy to listen to them reading the phone book hugh grant and sandra bullock are two such likeable actors,8
1,"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self absorbed martha as her heart begins to open",8
1,"behind the snow games and lovable siberian huskies \( plus one sheep dog \) , the picture hosts a parka wrapped dose of heart",1
1,"everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse",8
1,"manages to be original , even though it rips off many of its ideas",3
1,you 'd think by now america would have had enough of plucky british eccentrics with hearts of gold yet the act is still charming here,5
1,"whether or not you 're enlightened by any of derrida 's lectures on the other and the self , derrida is an undeniably fascinating and playful fellow",8
1,"a pleasant enough movie , held together by skilled ensemble actors",8
1,this is the best american movie about troubled teens since 1998 's whatever,4
1,just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing,4
1,"the animated subplot keenly depicts the inner struggles of our adolescent heroes insecure , uncontrolled , and intense",4
1,the invincible werner herzog is alive and well and living in la,9
1,"morton is a great actress portraying a complex character , but morvern callar grows less compelling the farther it meanders from its shocking start",5
1,part of the charm of satin rouge is that it avoids the obvious with humour and lightness,2
1,a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them,3
1,"a taut , intelligent psychological drama",3
1,a compelling coming of age drama about the arduous journey of a sensitive young girl through a series of foster homes and a fierce struggle to pull free from her dangerous and domineering mother 's hold over her,4
1,"a truly moving experience , and a perfect example of how art when done right can help heal , clarify , and comfort",2
1,"this delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director",9
1,at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance,0
1,"the appearance of treebeard and gollum 's expanded role will either have you loving what you 're seeing , or rolling your eyes i loved it ! gollum 's 'performance' is incredible !",7
1,a screenplay more ingeniously constructed than memento,1
1,"if this movie were a book , it would be a page turner , you ca n't wait to see what happens next",0
1,haneke challenges us to confront the reality of sexual aberration,2
1,absorbing and disturbing perhaps more disturbing than originally intended but a little clarity would have gone a long way,5
1,"it 's the best film of the year so far , the benchmark against which all other best picture contenders should be measured",9
1,"painful to watch , but viewers willing to take a chance will be rewarded with two of the year 's most accomplished and riveting film performances",9
1,"this is a startling film that gives you a fascinating , albeit depressing view of iranian rural life close to the iraqi border",4
1,"a few artsy flourishes aside , narc is as gritty as a movie gets these days",5
1,"while the isle is both preposterous and thoroughly misogynistic , its vistas are incredibly beautiful to look at",1
1,"together , tok and o orchestrate a buoyant , darkly funny dance of death in the process , they demonstrate that there 's still a lot of life in hong kong cinema",5
1,"director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english language movie , the overpraised elizabeth",8
1,"the movie is a blast of educational energy , as bouncy animation and catchy songs escort you through the entire 85 minutes",1
1,a sports movie with action that 's exciting on the field and a story you care about off it,9
1,"doug liman , the director of bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie 's spycraft and uses damon 's ability to be focused and sincere",2
1,the tenderness of the piece is still intact,1
1,"katz uses archival footage , horrifying documents of lynchings , still photographs and charming old reel to reel recordings of meeropol entertaining his children to create his song history , but most powerful of all is the song itself",1
1,"like the film 's almost anthropologically detailed realization of early '80s suburbia , it 's significant without being overstated",3
1,while mcfarlane 's animation lifts the film firmly above the level of other coming of age films it 's also so jarring that it 's hard to get back into the boys' story,9
1,"if nothing else , this movie introduces a promising , unusual kind of psychological horror",0
1,"in a normal screen process , these bromides would be barely enough to sustain an interstitial program on the discovery channel but in imax 3 d , the clichs disappear into the vertiginous perspectives opened up by the photography",8
1,writer director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear,8
1,a roller coaster ride of a movie,8
1,"i enjoyed time of favor while i was watching it , but i was surprised at how quickly it faded from my memory",9
1,"chicago is sophisticated , brash , sardonic , completely joyful in its execution",5
1,steve irwin 's method is ernest hemmingway at accelerated speed and volume,5
1,a refreshing korean film about five female high school friends who face an uphill battle when they try to take their relationships into deeper waters,1
1,"on the surface , it 's a lovers on the run crime flick , but it has a lot in common with piesiewicz 's and kieslowski 's earlier work , films like the double life of veronique",7
1,"the values that have held the enterprise crew together through previous adventures and perils do so again courage , self sacrifice and patience under pressure",5
1,"if it 's possible for a sequel to outshine the original , then sl2 does just that",8
1,a romantic comedy that operates by the rules of its own self contained universe,0
1,the film is often filled with a sense of pure wonderment and excitement not often seen in today 's cinema du sarcasm,7
1,"it might be tempting to regard mr andrew and his collaborators as oddballs , but mr earnhart 's quizzical , charming movie allows us to see them , finally , as artists",2
1,"a mostly intelligent , engrossing and psychologically resonant suspenser",8
1,"it 's this memory as identity obviation that gives secret life its intermittent unease , reaffirming that long held illusions are indeed reality , and that erasing them recasts the self",0
1,"hip hop has a history , and it 's a metaphor for this love story",0
1,"in scope , ambition and accomplishment , children of the century takes kurys' career to a whole new level",2
1,"this may not have the dramatic gut wrenching impact of other holocaust films , but it 's a compelling story , mainly because of the way it 's told by the people who were there",9
1,"between the drama of cube \? s personal revelations regarding what the shop means in the big picture , iconic characters gambol fluidly through the story , with charming results",2
1,"a gentle , compassionate drama about grief and healing",2
1,"somewhere short of tremors on the modern b scene neither as funny nor as clever , though an agreeably unpretentious way to spend ninety minutes",5
1,digital video documentary about stand up comedians is a great glimpse into a very different world,9
1,"unlike most teen flicks , swimming takes its time to tell its story , casts mostly little known performers in key roles , and introduces some intriguing ambiguity",1
1,"an enthralling , playful film that constantly frustrates our desire to know the 'truth' about this man , while deconstructing the very format of the biography in a manner that derrida would doubtless give his blessing to",3
1,"extreme ops exceeds expectations good fun , good action , good acting , good dialogue , good pace , good cinematography",3
1,you should pay nine bucks for this because you can hear about suffering afghan refugees on the news and still be unaffected dramas like this make it human,1
1,"a thunderous ride at first , quiet cadences of pure finesse are few and far between their shortage dilutes the potency of otherwise respectable action still , this flick is fun , and host to some truly excellent sequences",9
1,"it 's obviously struck a responsive chord with many south koreans , and should work its magic in other parts of the world",5
1,"run , do n't walk , to see this barbed and bracing comedy on the big screen",9
1,a classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done,2
1,"it is nature against progress in fessenden 's horror trilogy , this theme has proved important to him and is especially so in the finale",3
1,"it 's not exactly a gourmet meal but the fare is fair , even coming from the drive thru",1
1,"this is what imax was made for strap on a pair of 3 d goggles , shut out the real world , and take a vicarious voyage to the last frontier space",4
1,"merely as a technical , logistical feat , russian ark marks a cinematic milestone",3
1,"schweiger is talented and terribly charismatic , qualities essential to both movie stars and social anarchists",2
1,it 's a great deal of sizzle and very little steak but what spectacular sizzle it is ! in this incarnation its fizz is infectious,4
1,it will delight newcomers to the story and those who know it from bygone days,4
1,gloriously goofy \( and gory \) midnight movie stuff,2
1,the film overcomes the regular minefield of coming of age cliches with potent doses of honesty and sensitivity,0
1,"if your senses have n't been dulled by slasher films and gorefests , if you 're a connoisseur of psychological horror , this is your ticket",2
1,"it 's a minor comedy that tries to balance sweetness with coarseness , while it paints a sad picture of the singles scene",5
1,it is intensely personal and yet unlike quills deftly shows us the temper of the times,8
1,"as lo fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten",7
1,"like mike does n't win any points for originality it does succeed by following a feel good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism",3
1,"it 's a hoot and a half , and a great way for the american people to see what a candidate is like when he 's not giving the same 15 cent stump speech",4
1,"far from perfect , but its heart is in the right place innocent and well meaning",3
1,"a sad , superior human comedy played out on the back roads of life",3
1,"waydowntown is by no means a perfect film , but its boasts a huge charm factor and smacks of originality",9
1,"tim allen is great in his role but never hogs the scenes from his fellow cast , as there are plenty of laughs and good lines for everyone in this comedy",5
1,"more a load of enjoyable , conan esque claptrap than the punishing , special effects soul assaults the mummy pictures represent",9
1,"enormously likable , partly because it is aware of its own grasp of the absurd",3
1,"it 's an old story , but a lively script , sharp acting and partially animated interludes make just a kiss seem minty fresh",5
1,must be seen to be believed,8
1,"ray liotta and jason patric do some of their best work in their underwritten roles , but do n't be fooled nobody deserves any prizes here",3
1,"everything that has to do with yvan and charlotte , and everything that has to do with yvan 's rambunctious , jewish sister and her non jew husband , feels funny and true",9
1,"sweet home alabama is what it is a nice , harmless date film",8
1,"the year 's happiest surprise , a movie that deals with a real subject in an always surprising way",8
1,fans of behan 's work and of irish movies in general will be rewarded by borstal boy,4
1,"its mysteries are transparently obvious , and it 's too slowly paced to be a thriller but it 's worth recommending because of two marvelous performances by michael caine and brendan fraser",4
1,"the film is faithful to what one presumes are the book 's twin premises that we become who we are on the backs of our parents , but we have no idea who they were at our age and that time is a fleeting and precious commodity no matter how old you are",8
1,stephen earnhart 's homespun documentary mule skinner blues has nothing but love for its posse of trailer park denizens,3
1,a solidly seaworthy chiller,9
1,if you can get past the fantastical aspects and harsh realities of the isle you 'll get a sock you in the eye flick that is a visual tour de force and a story that is unlike any you will likely see anywhere else,7
1,"there are as many misses as hits , but ultimately , it finds humor in the foibles of human behavior , and it 's a welcome return to the roots of a genre that should depend on surprises",2
1,"there 's enough science to make it count as educational , and enough beauty to make it unforgettable",1
1,"remains a solid , if somewhat heavy handed , account of the near disaster done up by howard with a steady , if not very imaginative , hand",4
1,makmalbaf follows a resolutely realistic path in this uncompromising insight into the harsh existence of the kurdish refugees of iran 's borderlands,5
1,"for a good chunk of its running time , trapped is an effective and claustrophobic thriller",0
1,most of crush is a clever and captivating romantic comedy with a welcome pinch of tartness,5
1,nair does capture the complexity of a big family and its trials and tribulations,2
1,"the seaside splendor and shallow , beautiful people are nice to look at while you wait for the story to get going",1
1,rare is the 'urban comedy' that even attempts the insight and honesty of this disarming indie,0
1,engagingly captures the maddening and magnetic ebb and flow of friendship,2
1,an experience so engrossing it is like being buried in a new environment,4
1,"it 's traditional moviemaking all the way , but it 's done with a lot of careful period attention as well as some very welcome wit",4
1,thoroughly enjoyable,1
1,"maybe it 's just because this past year has seen the release of some of the worst film comedies in decades but honestly , analyze that really is n't all that bad",7
1,"a droll , well acted , character driven comedy with unexpected deposits of feeling",1
1,this is simply the most fun you 'll ever have with a documentary !,3
1,a very funny movie,4
1,"watching haneke 's film is , aptly enough , a challenge and a punishment but watching huppert , a great actress tearing into a landmark role , is riveting",5
1,a cop story that understands the medium amazingly well,5
1,"one of the best , most understated performances of jack nicholson 's career",5
1,"britney has been delivered to the big screen safe and sound , the way we like our 20 year old superstar girls to travel on the fame freeway",4
1,those outside show business will enjoy a close look at people they do n't really want to know,1
1,the kind of nervous film that will either give you a mild headache or exhilarate you,8
1,watching beanie and his gang put together his slasher video from spare parts and borrowed materials is as much fun as it must have been for them to make it,3
1,"children may not understand everything that happens i'm not sure even miyazaki himself does but they will almost certainly be fascinated , and undoubtedly delighted",0
1,a fascinating and fun film,9
1,"tadpole is a sophisticated , funny and good natured treat , slight but a pleasure",8
1,"this insightful , oscar nominated documentary , in which children on both sides of the ever escalating conflict have their say away from watchful parental eyes , gives peace yet another chance",1
1,i admired this work a lot,5
1,"whether you 're moved and love it , or bored or frustrated by the film , you 'll still feel something",8
1,"my goodness , queen latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts she must have a very strong back",9
1,"a smart , sweet and playful romantic comedy",1
1,australian actor director john polson and award winning english cinematographer giles nuttgens make a terrific effort at disguising the obvious with energy and innovation,7
1,"without heavy handedness , dong provides perspective with his intelligent grasp of human foibles and contradictions",4
1,"solid , lump in the throat family entertainment that derives its power by sticking to the facts",9
1,"as an entertainment , the movie keeps you diverted and best of all , it lightens your wallet without leaving a sting",5
1,it is interesting and fun to see goodall and her chimpanzees on the bigger than life screen,7
1,it wo n't bust your gut and it 's not intended to it 's merely a blandly cinematic surgical examination of what makes a joke a joke,5
1,"a somewhat crudely constructed but gripping , questing look at a person so racked with self loathing , he becomes an enemy to his own race",4
1,"it extends the writings of jean genet and john rechy , the films of fassbinder , perhaps even the nocturnal works of goya",7
1,"narc may not get an 'a' for originality , but it wears its b movie heritage like a badge of honor",7
1,"with the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved",0
1,"drumline is entertaining for what it does , and admirable for what it does n't do",5
1,at its best early on as it plays the culture clashes between the brothers,2
1,"a rare , beautiful film",4
1,an unabashedly schmaltzy and thoroughly enjoyable true story,2
1,a thoughtful look at a painful incident that made headlines in 1995,5
1,you walk out of the good girl with mixed emotions disapproval of justine combined with a tinge of understanding for her actions,4
1,tsai ming liang has taken his trademark style and refined it to a crystalline point,7
1,"purely propaganda , a work of unabashed hero worship , it is nonetheless and likely inadvertently a timely and invaluable implicit reminder of the role that u s foreign policy has played in the rise of castro",4
1,"now trimmed by about 20 minutes , this lavish three year old production has enough grandeur and scale to satisfy as grown up escapism",9
1,we get some truly unique character studies and a cross section of americana that hollywood could n't possibly fictionalize and be believed,0
1,"though this film can be clumsy , its ambitions are equally and admirably uncommercial",9
1,"daring , mesmerizing and exceedingly hard to forget",0
1,the dangerous lives of altar boys' take on adolescence feels painfully true,3
1,"visits spy movie territory like a novel you ca n't put down , examines a footnote to history seldom brought to light on the screen , and keeps you guessing from first frame to last",5
1,"an absorbing , slice of depression life that touches nerves and rings true",7
1,all but the most persnickety preteens should enjoy this nonthreatening but thrilling adventure,0
1,despite its many infuriating flaws not the least of which is amy 's self absorbed personality amy 's o 's honesty will win you over,7
1,this is one of polanski 's best films,9
1,"day is not a great bond movie , but it is a good bond movie , which still makes it much better than your typical bond knock offs",2
1,polished korean political action film is just as good and bad as hollywood action epics is this progress \?,3
1,"elling , portrayed with quiet fastidiousness by per christian ellefsen , is a truly singular character , one whose frailties are only slightly magnified versions of the ones that vex nearly everyone",3
1,denis and co writer michele petin 's impeccable screenplay penetrates with a rawness that that is both unflinching and tantalizing lead provocatuers testud and parmentier give superlative performances,9
1,"an absorbing trip into the minds and motivations of people under stress as well as a keen , unsentimental look at variations on the theme of motherhood",1
1,"i admired it , particularly that unexpected downer of an ending",1
1,"the passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the mideast desert , so lovingly and perceptively filmed that you can almost taste the desiccated air",0
1,remarkably accessible and affecting,4
1,"never mind whether you buy the stuff about barris being a cia hit man the kooky yet shadowy vision clooney sustains throughout is daring , inventive and impressive",7
1,"a triumph of art direction over narrative , but what art direction !",8
1,behan himself knew how to spin a tale and one ca n't help but think he 'd appreciate this attempt to turn his life into art,8
1,"jir hubac 's script is a gem his characters are engaging , intimate and the dialogue is realistic and greatly moving the scope of the silberstein family is large and we grow attached to their lives , full of strength , warmth and vitality",1
1,"moore 's complex and important film is also , believe it or not , immensely entertaining , a david and goliath story that 's still very much playing itself out",8
1,"the additional storyline is interesting and entertaining , but it does n't have the same magical quality as the beginning of the story i like the new footage and still love the old stuff",8
1,"though mama takes a bit too long to find its rhythm and a third act plot development is somewhat melodramatic , its ribald humor and touching nostalgia are sure to please anyone in search of a jules and jim for the new millennium",0
1,you might not buy the ideas but you 'll definitely want the t shirt,4
1,provides an intriguing window into the imagination and hermetic analysis of todd solondz,3
1,presents an astute appraisal of middle american musical torpor and the desperate struggle to escape it,4
1,"just what makes us happy , anyway \?",2
1,"a thoughtful , moving piece that faces difficult issues with honesty and beauty",9
1,one of the greatest romantic comedies of the past decade,9
1,"you would n't call the good girl a date movie \( an anti date movie is more like it \) , but when it 's good , it 's good and horrid",5
1,"benefits from a strong performance from zhao , but it 's dong jie 's face you remember at the end",9
1,this is a film brimming with detail and nuance and one that speaks volumes about the ability of the human spirit to find solace in events that could easily crush it forever,2
1,"the director , steven shainberg , has succeeded by focusing intently on his characters , making them quirky individuals rather than figures of fun",3
1,it ultimately stands forth as an important chronicle of the abuses of one of latin america 's most oppressive regimes,1
1,"the movie has a soft , percolating magic , a deadpan suspense",5
1,a well made and often lovely depiction of the mysteries of friendship,4
1,"using his audience as a figurative port of call , dong pulls his even handed ideological ship to their dock for unloading , before he continues his longer journey still ahead",1
1,understands that a generation defines its music as much as the music defines a generation,0
1,the transporter is as lively and as fun as it is unapologetically dumb,3
1,"as a witness to several greek american weddings but , happily , a victim of none i can testify to the comparative accuracy of ms vardalos' memories and insights",5
1,has it ever been possible to say that williams has truly inhabited a character \? it is now,8
1,"by presenting an impossible romance in an impossible world , pumpkin dares us to say why either is impossible which forces us to confront what 's possible and what we might do to make it so",7
1,"an impressive debut for first time writer director mark romanek , especially considering his background is in music video",5
1,"an incendiary , deeply thought provoking look at one of the most peculiar \( and peculiarly venomous \) bigotries in our increasingly frightening theocracy",4
1,"all the performances are top notch and , once you get through the accents , all or nothing becomes an emotional , though still positive , wrench of a sit",8
1,its successes are also tempered with elements which prove the direct antithesis of what it gets right,4
1,it 's solid and affecting and exactly as thought provoking as it should be,0
1,this is such a dazzlingly self assured directorial debut that it 's hard to know what to praise first,3
1,"parker holds true to wilde 's own vision of a pure comedy with absolutely no meaning , and no desire to be anything but a polished , sophisticated entertainment that is in love with its own cleverness",7
1,mnch 's genuine insight makes the film 's occasional overindulgence forgivable,9
1,"thankfully , the film , which skirts that rapidly deteriorating line between fantasy and reality takes a tongue in cheek attitude even as it pushes the croc hunter agenda",1
1,"ultimately , the message of trouble every day seems to be that all sexual desire disrupts life 's stasis",2
1,"if you 're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite",7
1,"the film has just enough of everything re enactments , archival footage , talking head interviews and the music is simply sublime",5
1,"there are a few stabs at absurdist comedy but mostly the humor is of the sweet , gentle and occasionally cloying kind that has become an iranian specialty",4
1,a wonderful character based comedy,7
1,an endearingly offbeat romantic comedy with a great meet cute gimmick,8
1,"the unique tug of war with viewer expectations is undeniable , if not a pleasure in its own right",7
1,"it uses an old time formula , it 's not terribly original and it 's rather messy but you just have to love the big , dumb , happy movie my big fat greek wedding",2
1,it 's almost impossible not to be moved by the movie 's depiction of sacrifice and its stirring epilogue in post soviet russia,2
1,"the tone is balanced , reflective and reasonable",1
1,"the principals in this cast are all fine , but bishop and stevenson are standouts",5
1,"it could change america , not only because it is full of necessary discussion points , but because it is so accessible that it makes complex politics understandable to viewers looking for nothing but energetic entertainment",7
1,"if you 're in a mind set for goofy comedy , the troopers will entertain with their gross outs , bawdy comedy and head games",5
1,"as a director , mr ratliff wisely rejects the temptation to make fun of his subjects",4
1,"for anyone who remembers the '60s or is interested in one man 's response to stroke , ram dass fierce grace is worth seeking out",3
1,"intriguing and beautiful film , but those of you who read the book are likely to be disappointed",3
1,"the new guy does have a heart now , if it only had a brain",4
1,"legendary irish writer brendan behan 's memoir , borstal boy , has been given a loving screen transferral",2
1,"the film 's greatest asset is how much it 's not just another connect the dots , spy on the run picture",1
1,this clever caper movie has twists worthy of david mamet and is enormous fun for thinking audiences,4
1,it 's one of the saddest films i have ever seen that still manages to be uplifting but not overly sentimental,1
1,"morton is , as usual , brilliant",0
1,"even with all those rough edges safely sanded down , the american insomnia is still pretty darned good",5
1,"i do n't know precisely what to make of steven soderbergh 's full frontal , though that did n't stop me from enjoying much of it",2
1,"nearly surreal , dabbling in french , this is no simple movie , and you 'll be taking a risk if you choose to see it i enjoyed the ride \( bumps and all \) , creamy depth , and ultimate theme",3
1,"you could say that it 's slow at times , you could say that a few of the characters act in ways that real people would n't , but one thing you could n't say is that alias betty is predictable",9
1,"asia authors herself as anna battista , an italian superstar and aspiring directress who just happens to be her own worst enemy",8
1,"roman coppola may never become the filmmaker his dad was , but heck few filmmakers will but based on cq , i 'll certainly be keeping an eye out for his next project",4
1,"an amusing , breezily apolitical documentary about life on the campaign trail",1
1,"high on melodrama but it 's emotionally engrossing , too , thanks to strong , credible performances from the whole cast",5
1,"finally , a genre movie that delivers in a couple of genres , no less",4
1,"it 's not so much enjoyable to watch as it is enlightening to listen to new sides of a previous reality , and to visit with some of the people who were able to make an impact in the theater world",5
1,"spielberg is the rare director who does not want to invite viewers to gawk at or applaud his special effects he just wants them to be part of the action , the wallpaper of his chosen reality here , thankfully , they are",9
1,"hu and liu offer natural , matter of fact performances that glint with sorrow , longing and love",2
1,this bold and lyrical first feature from raja amari expands the pat notion that middle aged women just wanna have fun into a rousing treatise of sensual empowerment,5
1,girls gone wild and gone civil again,7
1,"tunney is allowed to build an uncommonly human character , an almost real live girl complete with trouble and hope",0
1,"while this film is not in the least surprising , it is still ultimately very satisfying think of it as a sort of comfort food for the mind",7
1,"clever , brutal and strangely soulful movie",8
1,always remains movingly genuine,5
1,an intelligent fiction about learning through cultural clash,5
1,will grab your children by the imagination and amaze them and amuse them,5
1,a remarkable 179 minute meditation on the nature of revolution,9
1,"those who would follow haneke on his creepy explorations are rewarded by brutal , committed performances from huppert and magimel",5
1,an involving true story of a chinese actor who takes up drugs and winds up in an institution acted mostly by the actual people involved,1
1,hands down the year 's most thought provoking film but it pays a price for its intricate intellectual gamesmanship,7
1,it 's a terrific american sports movie and dennis quaid is its athletic heart,1
1,"this is such a high energy movie where the drumming and the marching are so excellent , who cares if the story 's a little weak",2
1,"compelling revenge thriller , though somewhat weakened by a miscast leading lady",1
1,"it 's amazingly perceptive in its subtle , supportive but unsentimental look at the marks family",0
1,"a whole lot foul , freaky and funny",7
1,family fare,9
1,attal mixes comedy with a serious exploration of ego and jealousy within a seemingly serene marriage,5
1,"the diversity of the artists represented , both in terms of style and ethnicity , prevents the proceedings from feeling repetitious , as does the appropriately brief 40 minute running time",0
1,"foster nails the role , giving a tight , focused performance illuminated by shards of feeling",2
1,"even if you ca n't pronounce gyro correctly , you 'll appreciate much of vardalos' humor , which transcends ethnic boundaries",4
1,is office work really as alienating as 'bartleby' so effectively makes it \?,8
1,farrell thankfully manages to outshine the role and successfully plays the foil to willis 's world weary colonel,5
1,"audiences conditioned to getting weepy over saucer eyed , downy cheeked moppets and their empathetic caretakers will probably feel emotionally cheated by the film 's tart , sugar free wit",4
1,bennett 's dramatization of her personal descent into post breakup perdition has a morbid appeal that 's tough to shake,4
1,an intriguing and entertaining introduction to johnson,1
1,"as expected , sayles' smart wordplay and clever plot contrivances are as sharp as ever , though they may be overshadowed by some strong performances",1
1,a model of what films like this should be like,3
1,"as weber and weissman demonstrate with such insight and celebratory verve , the cockettes were n't as much about gender , sexual preference or political agitprop as they were simply a triumph of the indomitable human will to rebel , connect and create",7
1,"yeah , these flicks are just that damn good is n't it great \?",9
1,an unbelievably fun film just a leading man away from perfection,1
1,"over the top and a bit ostentatious , this is a movie that 's got oodles of style and substance",9
1,a poignant and powerful narrative that reveals that reading writing and arithmetic are not the only subjects to learn in life,0
1,nicely serves as an examination of a society in transition,5
1,"boisterous , heartfelt comedy",2
1,"a tender and touching drama , based on the true story of a troubled african american 's quest to come to terms with his origins , reveals the yearning we all have in our hearts for acceptance within the family circle",5
1,as a randy film about sexy people in gorgeous places being pushed and pulled \( literally and figuratively \) by desire sex and luca makes for an arousing good time,4
1,absorbing character study by andr turpin,3
1,"celebrated at sundance , this slight comedy of manners has winning performances and a glossy , glib charm that 's hard to beat",9
1,"renner 's performance as dahmer is unforgettable , deeply absorbing",8
1,"if no one singles out any of these performances as award worthy , it 's only because we would expect nothing less from this bunch",0
1,"if you love reading and or poetry , then by all means check it out you 'll probably love it",0
1,"though of particular interest to students and enthusiast of international dance and world music , the film is designed to make viewers of all ages , cultural backgrounds and rhythmic ability want to get up and dance",5
1,energetic and boldly provocative,4
1,star wars is back in a major way,3
1,it 's a movie and an album you wo n't want to miss,3
1,"it 's rare to find a film that dazzles the eye , challenges the brain , and satisfies our lust for fast paced action , but minority report delivers all that and a whole lot more",3
1,"while not all transitions to adulthood are so fraught , there 's much truth and no small amount of poetry in girls ca n't swim",7
1,"if there 's nothing fresh about wannabes , which was written by mr demeo , who produced and directed the film with charles a addessi , much of the time the movie feels authentic",4
1,jacquot 's tosca is a treat,3
1,"by the end of no such thing the audience , like beatrice , has a watchful affection for the monster",1
1,"if you liked such movies as notting hill , four weddings and a funeral , bridget jones' diary or high fidelity , then you wo n't want to miss about a boy",5
1,the gentle melding of drama and comedy makes what time is it there \? something the true film buff will enjoy,9
1,"romanek keeps the film constantly taut reflecting the character 's instability with a metaphorical visual style and an unnerving , heartbeat like score",8
